name,distance,year,fuel,price,company
Maruti Suzuki Eeco 5 STR WITH AC HTR CNG ,66000,2016,CNG,290000,Maruti
Mahindra Scorpio SLE BS IV ,68965,2012,Diesel,425000,Mahindra
Chevrolet Aveo LS 1.4 ,65856,2010,CNG,170000,Chevrolet
Maruti Suzuki Baleno Zeta 1.2 ,78585,2015,Diesel,449000,Maruti
Maruti Suzuki Swift Dzire ZDi ,75000,2012,Diesel,550000,Maruti
Maruti Suzuki Swift ZXi 1.2 BS IV ,14300,2017,Petrol,599000,Maruti
Honda City 1.5 V MT ,62500,2010,Petrol,275000,Honda
Maruti Suzuki Swift Dzire Tour LDi ,35217,2015,Diesel,185000,Maruti
Toyota Innova 2.5 G3 ,115000,2009,Diesel,850000,Toyota
Toyota Innova ,60000,2011,Diesel,600000,Toyota
Renault Kwid ,45000,2013,Petrol,233000,Renault
Mahindra Xylo E4 ,89000,2009,Diesel,210000,Mahindra
Toyota Innova 2.5 Z Diesel 7 Seater ,76500,2012,Diesel,215000,Toyota
Mahindra Bolero SLE ,80000,2015,Diesel,390000,Mahindra
Maruti Suzuki Alto LXi BS III ,36000,2007,Petrol,90000,Maruti
Toyota Corolla Altis 1.8 G CNG ,164300,2009,CNG,350000,Toyota
Maruti Suzuki Swift Dzire Tour VXi ,1,2018,Petrol,644576,Maruti
Honda Civic Sport ,98000,2007,Petrol,200000,Honda
Maruti Suzuki Swift Dzire Tour VDi ,2100,2019,Diesel,620000,Maruti
Maruti Suzuki Swift Dzire VXI AT ,115789,2016,CNG,355000,Maruti
Hyundai Verna 1.4 CRDi ,80556,2007,Diesel,160000,Hyundai
Hyundai Verna 1.6 SX VTVT O AT ,16800,2017,Petrol,1110000,Hyundai
Maruti Suzuki Swift Dzire ZDi ,130000,2013,Diesel,365000,Maruti
Maruti Suzuki Alto K10 VXi ,45000,2014,Petrol,220000,Maruti
Hyundai Eon Magna ,29000,2013,Petrol,225000,Hyundai
Maruti Suzuki Swift Dzire VXi ,62000,2009,Petrol,230000,Maruti
Maruti Suzuki Swift VDi ,98000,2008,Diesel,275000,Maruti
